text,label
"I'm so happy today!",Happy
"I feel really sad about the news.",Sad
"I'm furious with how things turned out.",Angry
"Everything is just fine.",Neutral
"Today is a great day!",Happy
"I'm feeling down.",Sad
"I'm really upset with the situation.",Angry
"Life is good.",Neutral
"I'm on cloud nine!",Happy
"I'm heartbroken.",Sad
"I'm so mad right now!",Angry
"Just another ordinary day.",Neutral
"I'm thrilled about the opportunity!",Happy
"I'm feeling blue.",Sad
"I'm enraged by the injustice.",Angry
"Everything seems okay.",Neutral